True_answer,Response,Image_idx,RT
False,0,2,-999
False,0,1,-999
False,0,3,-999
True,1,2,1.1769894619083061
False,0,6,1.1769894619083061
False,0,4,1.1769894619083061
True,1,6,0.7332752440036074
False,0,3,0.7332752440036074
True,1,6,0.9048880396792356
False,0,5,0.9048880396792356
False,0,1,0.9048880396792356
False,1,3,1.013742600891078
False,0,6,1.013742600891078
False,1,3,1.3659738236492558
False,0,4,1.3659738236492558
False,1,1,0.9303312999835498
False,0,4,0.9303312999835498
True,0,3,0.9303312999835498
False,0,4,0.9303312999835498
False,0,2,0.9303312999835498
False,0,1,0.9303312999835498
False,0,0,0.9303312999835498
False,0,3,0.9303312999835498
True,1,5,1.4550895056593163
True,1,4,1.310507663473345
False,0,6,1.310507663473345
False,0,4,1.310507663473345
True,1,1,1.5756591202981554
False,0,3,1.5756591202981554
False,0,3,1.5756591202981554
False,0,1,1.5756591202981554
True,1,1,0.9828517085192061
True,1,4,0.7330168212461103
False,0,5,0.7330168212461103
False,0,4,0.7330168212461103
True,1,3,1.608962516314591
False,1,5,1.5513275464935532
True,1,2,1.3305173509792212
False,0,0,1.3305173509792212
False,0,3,1.3305173509792212
False,0,6,1.3305173509792212
False,1,4,1.6848966292232035
False,0,2,1.6848966292232035
False,0,2,1.6848966292232035
False,1,0,-0.2963302294706409
True,1,6,1.519355094627258
False,0,2,1.519355094627258
False,0,4,1.519355094627258
False,0,4,1.519355094627258
False,1,5,1.4821050609017448
False,0,3,1.4821050609017448
False,0,0,1.4821050609017448
False,1,5,1.2878919899992525
False,0,3,1.2878919899992525
False,0,1,1.2878919899992525
False,0,0,1.2878919899992525
False,0,6,1.2878919899992525
True,1,4,1.2792977595885304
False,0,1,1.2792977595885304
False,0,2,1.2792977595885304
False,0,1,1.2792977595885304
False,0,4,1.2792977595885304
False,0,4,1.2792977595885304
True,1,0,1.5251508609795792
True,0,0,1.5251508609795792
False,0,6,1.5251508609795792
False,0,6,1.5251508609795792
True,1,0,0.8736734493713811
False,0,5,0.8736734493713811
False,0,6,0.8736734493713811
False,1,2,1.4738298420039655
False,0,2,1.4738298420039655
True,1,5,1.1528744677980285
False,0,1,1.1528744677980285
False,0,0,1.1528744677980285
True,1,3,1.6068817444740944
False,0,6,1.6068817444740944
False,0,1,1.6068817444740944
False,0,2,1.6068817444740944
False,0,2,1.6068817444740944
False,0,2,1.6068817444740944
False,0,5,1.6068817444740944
False,0,5,1.6068817444740944
True,1,4,1.4040707609713081
False,0,6,1.4040707609713081
False,0,6,1.4040707609713081
True,1,1,1.0763120394543648
True,0,0,1.0763120394543648
False,0,3,1.0763120394543648
False,0,5,1.0763120394543648
False,0,2,1.0763120394543648
True,1,6,0.7644633894956314
False,0,1,0.7644633894956314
False,0,2,0.7644633894956314
True,1,0,1.5757089972292988
False,0,1,1.5757089972292988
False,0,1,1.5757089972292988
True,1,4,1.5424742238363933
False,0,1,1.5424742238363933
False,1,5,1.662378701144462
True,1,1,1.4620562082886863
True,1,1,1.0140314853986183
True,1,5,0.7255851584998254
False,0,3,0.7255851584998254
True,1,6,1.311452312465235
False,0,3,1.311452312465235
False,1,4,1.6380933220814313
False,0,0,1.6380933220814313
False,0,3,1.6380933220814313
False,0,1,1.6380933220814313
False,0,6,1.6380933220814313
False,1,4,1.1233874938783401
False,0,1,1.1233874938783401
True,1,4,0.9829531361042427
False,0,2,0.9829531361042427
False,0,6,0.9829531361042427
False,0,5,0.9829531361042427
False,1,0,1.2949212898508904
False,0,5,1.2949212898508904
True,1,2,1.1969710308758295
True,1,3,1.3416924615203243
True,0,1,1.3416924615203243
True,1,2,1.1604765154970664
True,1,0,1.4508583351214384
True,1,3,1.1131767822550955
False,0,5,1.1131767822550955
False,0,6,1.1131767822550955
False,0,3,1.1131767822550955
False,0,6,1.1131767822550955
False,0,3,1.1131767822550955
True,1,4,1.040141556755998
False,0,1,1.040141556755998
False,0,1,1.040141556755998
False,0,3,1.040141556755998
False,0,1,1.040141556755998
True,1,4,0.8057802342073046
False,0,5,0.8057802342073046
False,0,5,0.8057802342073046
False,0,3,0.8057802342073046
False,0,4,0.8057802342073046
False,0,6,0.8057802342073046
True,1,6,0.7955896072542146
False,0,5,0.7955896072542146
False,0,2,0.7955896072542146
False,0,1,0.7955896072542146
False,0,4,0.7955896072542146
True,1,5,1.5892735140439527
False,0,0,1.5892735140439527
False,0,0,1.5892735140439527
True,1,0,1.0266285905950099
