True_answer,Response
False,0
False,0
True,0
False,0
False,0
False,0
False,0
False,0
True,1
False,0
False,0
False,0
False,0
True,1
False,0
True,0
False,0
False,0
True,1
False,0
True,1
False,0
False,0
True,1
False,0
False,0
False,0
True,0
100,0
True,0
False,1
False,0
False,0
True,1
False,0
False,0
True,1
False,0
True,1
True,1
False,0
False,0
False,0
False,0
False,0
True,0
False,0
True,1
False,0
True,1
False,0
True,1
99,0
False,0
False,0
False,0
False,0
True,1
97,0
False,0
False,0
True,1
False,0
False,0
False,0
True,1
True,1
False,0
False,0
False,0
True,1
False,0
True,1
True,1
False,0
True,1
100,0
False,0
False,0
False,0
False,0
False,1
False,1
False,0
False,1
True,1
False,0
True,1
False,0
False,0
True,1
True,1
False,0
False,1
True,1
False,0
True,1
False,0
True,1
False,0
False,0
96,0
False,0
False,0
False,0
False,0
False,1
False,1
False,1
False,0
False,0
False,0
False,1
False,1
False,0
True,1
False,0
False,0
False,0
True,1
False,0
96,0
False,0
False,1
False,0
True,1
False,0
False,0
False,0
True,1
True,1
True,1
False,0
True,1
True,1
False,0
False,0
True,1
False,0
False,0
False,0
False,0
False,0
True,1
False,0
False,0
True,1
False,0
False,0
False,0
