True_answer,Response,Image_idx,RT
False,0,6,-999
True,1,1,1.6068747148383409
True,0,4,1.6068747148383409
False,0,0,1.6068747148383409
False,0,6,1.6068747148383409
False,0,5,1.6068747148383409
False,0,5,1.6068747148383409
False,0,2,1.6068747148383409
False,0,6,1.6068747148383409
False,0,3,1.6068747148383409
False,0,1,1.6068747148383409
False,0,5,1.6068747148383409
False,0,4,1.6068747148383409
False,0,6,1.6068747148383409
False,0,3,1.6068747148383409
False,0,1,1.6068747148383409
False,0,2,1.6068747148383409
False,0,0,1.6068747148383409
False,0,5,1.6068747148383409
True,0,5,1.6068747148383409
False,0,2,1.6068747148383409
False,0,2,1.6068747148383409
False,0,4,1.6068747148383409
False,0,3,1.6068747148383409
False,0,2,1.6068747148383409
False,0,5,1.6068747148383409
True,1,3,1.4172285632157582
False,0,1,1.4172285632157582
False,0,6,1.4172285632157582
False,0,3,1.4172285632157582
False,0,6,1.4172285632157582
False,0,0,1.4172285632157582
False,0,6,1.4172285632157582
False,0,5,1.4172285632157582
False,0,2,1.4172285632157582
True,0,3,1.4172285632157582
True,0,6,1.4172285632157582
False,0,2,1.4172285632157582
False,0,5,1.4172285632157582
False,0,5,1.4172285632157582
True,1,1,1.0297222993067408
False,0,3,1.0297222993067408
True,0,4,1.0297222993067408
False,0,4,1.0297222993067408
False,0,6,1.0297222993067408
False,0,4,1.0297222993067408
False,0,1,1.0297222993067408
True,1,1,1.5984850133208965
True,0,0,1.5984850133208965
False,0,6,1.5984850133208965
False,0,4,1.5984850133208965
False,0,6,1.5984850133208965
False,0,5,1.5984850133208965
True,1,3,1.0687816270765325
False,0,3,1.0687816270765325
False,0,4,1.0687816270765325
True,1,4,1.044383439118974
True,0,0,1.044383439118974
True,1,2,1.0605398826337478
True,1,3,0.9638422375901428
False,0,6,0.9638422375901428
False,0,2,0.9638422375901428
False,0,2,0.9638422375901428
False,0,6,0.9638422375901428
True,1,6,1.2191227484654519
True,1,6,1.2747104208974633
False,0,0,1.2747104208974633
True,1,1,1.4081302075792337
False,0,5,1.4081302075792337
False,0,3,1.4081302075792337
False,0,5,1.4081302075792337
True,1,5,1.422032146852871
False,0,4,1.422032146852871
False,0,5,1.422032146852871
True,0,0,1.422032146852871
True,0,3,1.422032146852871
False,0,4,1.422032146852871
False,0,0,1.422032146852871
False,0,0,1.422032146852871
False,0,6,1.422032146852871
True,0,4,1.422032146852871
True,1,1,1.196478621710412
True,0,5,1.196478621710412
False,0,2,1.196478621710412
False,0,6,1.196478621710412
False,0,2,1.196478621710412
False,0,1,1.196478621710412
False,0,1,1.196478621710412
False,0,2,1.196478621710412
False,0,6,1.196478621710412
False,0,0,1.196478621710412
False,0,5,1.196478621710412
False,0,1,1.196478621710412
True,0,0,1.196478621710412
True,0,1,1.196478621710412
False,0,1,1.196478621710412
False,0,6,1.196478621710412
False,0,5,1.196478621710412
False,0,6,1.196478621710412
False,0,5,1.196478621710412
True,0,0,1.196478621710412
True,0,0,1.196478621710412
False,0,4,1.196478621710412
True,1,2,0.8630817985031172
True,1,6,1.3021842413654667
False,0,5,1.3021842413654667
False,0,3,1.3021842413654667
True,0,2,1.3021842413654667
False,1,0,-0.2968360284176015
False,0,1,-0.2968360284176015
True,0,0,-0.2968360284176015
False,1,6,1.3323517508615623
False,0,4,1.3323517508615623
False,0,2,1.3323517508615623
False,0,4,1.3323517508615623
True,0,0,1.3323517508615623
True,1,2,1.1632023399979516
False,0,2,1.1632023399979516
False,0,1,1.1632023399979516
False,0,4,1.1632023399979516
True,1,1,1.0765594156437146
True,1,2,1.667088891070307
True,0,1,1.667088891070307
True,0,1,1.667088891070307
False,0,3,1.667088891070307
False,0,2,1.667088891070307
False,0,6,1.667088891070307
False,0,4,1.667088891070307
False,0,2,1.667088891070307
False,0,3,1.667088891070307
False,0,5,1.667088891070307
False,0,2,1.667088891070307
False,0,1,1.667088891070307
False,0,4,1.667088891070307
False,0,0,1.667088891070307
False,0,0,1.667088891070307
False,0,0,1.667088891070307
False,0,6,1.667088891070307
False,0,3,1.667088891070307
True,0,4,1.667088891070307
False,0,2,1.667088891070307
True,0,3,1.667088891070307
False,0,4,1.667088891070307
False,0,2,1.667088891070307
True,0,4,1.667088891070307
False,0,3,1.667088891070307
False,0,2,1.667088891070307
False,1,1,1.0433879089614493
False,0,2,1.0433879089614493
False,0,4,1.0433879089614493
